Date,Close,High,Low,Open,Volume
24-07-2025,5.77699995,5.894999981,5.771999836,5.860499859,686
25-07-2025,5.763500214,5.78000021,5.728000164,5.775000095,911
28-07-2025,5.59499979,5.748000145,5.498000145,5.747499943,782
29-07-2025,5.603499889,5.610000134,5.583000183,5.610000134,1039
30-07-2025,5.570000172,5.627999783,4.492499828,5.62650013,2823
31-07-2025,4.330500126,4.595499992,4.323500156,4.59499979,1537
01-08-2025,4.412499905,4.412499905,4.385000229,4.388999939,1301
04-08-2025,4.414999962,4.431000233,4.414500237,4.423500061,1042
05-08-2025,4.363999844,4.401000023,4.355000019,4.388000011,831
06-08-2025,4.390999794,4.412000179,4.38049984,4.400000095,924
07-08-2025,4.378499985,4.427000046,4.377500057,4.399499893,986
08-08-2025,4.455500126,4.455500126,4.387499809,4.387499809,645
11-08-2025,4.423500061,4.451499939,4.423500061,4.445499897,794
12-08-2025,4.508500099,4.512499809,4.5,4.512499809,803
13-08-2025,4.481999874,4.509500027,4.472000122,4.509500027,879
14-08-2025,4.46449995,4.466499805,4.454999924,4.454999924,2053
15-08-2025,4.478000164,4.488500118,4.473999977,4.488500118,797
18-08-2025,4.456999779,4.464000225,4.447000027,4.447000027,1008
19-08-2025,4.40899992,4.419000149,4.40899992,4.419000149,957
20-08-2025,4.426000118,4.431000233,4.407999992,4.412499905,1188
21-08-2025,4.431499958,4.440000057,4.429500103,4.438499928,821
22-08-2025,4.447500229,4.447999954,4.446499825,4.447000027,939
25-08-2025,4.466499805,4.473499775,4.46600008,4.47300005,945
26-08-2025,4.450500011,4.453499794,4.450500011,4.453499794,528
27-08-2025,4.414500237,4.414500237,4.414500237,4.414500237,20198
28-08-2025,4.463500023,4.478000164,4.40749979,4.424499989,7819
29-08-2025,4.518499851,4.521999836,4.466499805,4.466499805,0
02-09-2025,4.569499969,4.570000172,4.493999958,4.520500183,1397
03-09-2025,4.558499813,4.590000153,4.533500195,4.572500229,1166
04-09-2025,4.487999916,4.507500172,4.487500191,4.498000145,881
05-09-2025,4.482500076,4.521500111,4.472000122,4.521500111,859
08-09-2025,4.490499973,4.499000072,4.482999802,4.482999802,888
09-09-2025,4.500999928,4.512000084,4.484000206,4.511499882,1354
10-09-2025,4.550000191,4.553999901,4.502500057,4.503499985,1052
11-09-2025,4.590499878,4.610000134,4.534999847,4.550000191,1044
12-09-2025,4.588500023,4.593500137,4.581500053,4.589000225,883
15-09-2025,4.655499935,4.663499832,4.592999935,4.599999905,491
16-09-2025,4.632999897,4.636000156,4.630000114,4.635000229,651
17-09-2025,4.571000099,4.587999821,4.547500134,4.570000172,950
18-09-2025,4.540999889,4.5625,4.521500111,4.559500217,837
19-09-2025,4.568999767,4.572500229,4.544000149,4.544000149,653
22-09-2025,4.572999954,4.587500095,4.570499897,4.572500229,830
23-09-2025,4.584499836,4.586999893,4.570000172,4.570000172,1072
24-09-2025,4.752500057,4.766499996,4.558499813,4.581999779,1961
25-09-2025,4.699999809,4.743000031,4.699999809,4.743000031,1220
